District(D)/Taluk(T)/Hobli(H),Name,Normal (mm),Actual (mm),% DEP
H,Kurdi,663,590,-11
T,Raichur,736,601,-18
H,Raichur,736,628,-15
H,Chandrabanda,733,571,-22
H,Devarsugur,723,586,-19
H,Gilasuguru,610,563,-8
H,Kalmali,678,624,-8
H,Yergara,763,632,-17
T,Sindhanur,691,620,-10
H,Sindhanur,691,590,-15
H,Badarli,663,741,12
H,Gorebal,649,519,-20
H,Gunjihalli,634,623,-2
H,Hadganhal,655,650,-1
H,Huda,650,650,0
H,Jalihal,638,460,-28
H,Jawalgeri,656,740,13
H,Kunatgi,660,624,-5
H,Salgundi,660,668,1
H,Turvihal,627,602,-4
H,Walkamdinni,645,755,17
T,Maski,558,714,28
H,Maski,558,649,16
H,Halapur,586,778,33
H,Pamankallur,601,794,32
H,Balganur,598,665,11
H,Gunjihalli,609,675,11
H,Turvihal,603,987,64
H,Gudadur,573,641,12
H,Lingsugur,592,704,19
T,Sirivara,589,573,-3
H,Sirwar,589,528,-10
H,Kallur,671,530,-21
H,Mallat,624,621,-1
H,Kavital,622,611,-2
D,KALABURAGI,770,943,22
T,Afzalpur,692,825,19
H,Afzalpur,692,753,9
H,Atanur,707,915,29
H,Karajgi,664,751,13
T,Aland,763,994,30
H,Aland,763,1013,33
H,Khajuri,757,1087,44
H,Madana Hipparga,735,943,28
H,Narona,766,901,18
H,Nimbarga Tanda,761,959,26
T,Chincholi,913,920,1
H,Chincholi,913,891,-2
H,Ainapur,783,970,24
H,Sulepet,874,851,-3
H,Kodli Chincholi,896,1019,14
T,CHITTAPUR,771,1066,38
H,Chittapur,771,1073,39
H,Gundgurti,777,1158,49
H,Nalavara,791,1000,26
T,Kalaburagi,794,1036,31
H,Kalaburagi,794,1047,32
H,Aurad,777,1070,38
H,Farhatabad,779,939,21
H,Pattan,772,1049,36
T,Jevargi,805,819,2
H,Jewargi,805,823,2
H,Andola,792,858,8
H,Nelogi,753,747,-1
T,Sedam,791,913,15
H,Sedam,791,910,15
H,Adki,807,883,9
