District(D)/Taluk(T)/Hobli(H),Name,Normal (mm),Actual (mm),%DEP
H,Kurdi,663,802,21
T,Raichur,736,940,28
H,Raichur,736,960,30
H,Chandrabanda,733,982,34
H,Devarsugur,723,911,26
H,Gilasuguru,610,877,44
H,Kalmali,678,978,44
H,Yergara,763,924,21
T,Sindhanur,691,772,12
H,Sindhanur,691,762,10
H,Badarli,663,771,16
H,Gorebal,649,683,5
H,Gunjihalli,634,833,31
H,Hadganhal,655,841,29
H,Huda,650,719,11
H,Jalihal,638,712,12
H,Jawalgeri,656,882,35
H,Kunatgi,660,787,19
H,Salgundi,660,793,20
H,Turvihal,627,717,14
H,Walkamdinni,645,855,33
T,Maski,558,821,47
H,Maski,558,779,40
H,Halapur,586,862,47
H,Pamankallur,601,793,32
H,Balganur,598,904,51
H,Gunjihalli,609,875,44
H,Turvihal,603,847,40
H,Gudadur,573,880,54
H,Lingsugur,592,780,32
T,Sirivara,589,806,37
H,Sirwar,589,781,33
H,Kallur,671,775,15
H,Mallat,624,836,34
H,Kavital,622,830,33
D,KALABURAGI,770,1068,39
T,Afzalpur,692,943,36
H,Afzalpur,692,927,34
H,Atanur,707,1011,43
H,Karajgi,664,882,33
T,Aland,763,1039,36
H,Aland,763,1094,43
H,Khajuri,757,1029,36
H,Madana Hipparga,735,991,35
H,Narona,766,1177,54
H,Nimbarga Tanda,761,965,27
T,Chincholi,913,1085,19
H,Chincholi,913,1089,19
H,Ainapur,783,1098,40
H,Sulepet,874,1064,22
H,Kodli Chincholi,896,1092,22
T,Chittapur,771,1088,41
H,Chittapur,771,1162,51
H,Gundgurti,777,980,26
H,Nalavara,791,1079,36
T,Kalaburagi,794,1105,39
H,Kalaburagi,794,1237,56
H,Aurad,777,1182,52
H,Farhatabad,779,989,27
H,Pattan,772,1072,39
T,Jevargi,805,1001,24
H,Jewargi,805,1047,30
H,Andola,792,1005,27
H,Nelogi,753,960,28
T,Sedam,791,1228,55
H,Sedam,791,1174,48
H,Adki,807,1325,64
H,Kodla,799,1147,43
H,Mudhol,807,1321,64
T,Kalagi,766,1104,44
H,Kalagi,766,1110,45
H,Kodli,774,1094,41
H,Gundgurti,773,1106,43
T,Kamalapura,762,1295,70
H,Kamalapur,762,1277,68
H,Mahagaon Tanda,772,1330,72
H,Narona,770,1336,73
H,Ainapur,780,1113,43
T,Yadrami,687,859,25
H,Yadrami,687,853,24
H,Ijeri,750,870,16
T,Shahbadha,758,1102,45
H,Shahabad,758,1102,45
D,BIDAR,838,1049,25
T,Aurad,854,962,13
H,Aurad,854,929,9
H,Chintaki,872,994,14
H,Santpur,874,974,11
T,Bidar,939,1097,17
H,Bidar,939,1231,31
H,Bagadhal,843,995,18
H,Bidar South,935,1043,12
H,Janwada,909,1162,28
H,Kamthana,906,1086,20
H,Manalli,890,1093,23
T,Bhalki,874,957,10
H,Bhalki,874,917,5
H,Halburga,875,1062,21
H,Khatak Chincholi,833,1033,24
H,Lakangaon,877,925,5
H,Nittur Buzurg,873,902,3
H,Saigaon,769,923,20
T,Basavakalyan,790,1134,43
H,Basavakalyan,790,1019,29
H,Kohinoor,775,1316,70
H,Matala,787,1048,33
H,Mudabi,779,1257,61
H,Rajeshwar,813,1057,30
T,Humnabad,834,1135,36
H,Humnabad,834,1098,32
H,Dubalgundi,822,1206,47
H,Hallikheda,827,1085,31
T,Chittaguppa,759,1112,46
H,Chitguppa,759,1124,48
H,Bhimalkhed,838,1091,30
H,Nirna,794,1116,41
T,Kamalanagara,902,952,6
H,Kamalnagar,902,928,3
H,Dabaka C.,877,1067,22
H,Thanakushanur,873,864,-1
T,Hulasuru,739,1080,46
H,Hulsoor,739,1080,46
D,BELAGAVI,826,993,20
T,Athani,539,712,32
H,Athani,539,689,28
H,Anantapur,517,687,33
H,Telsang,507,748,47
T,Bailhongal,816,858,5
H,Bailhongal,816,826,1
H,Nesargi,771,884,15
T,Belagavi,1363,1330,-2
H,Belagavi,1363,1400,3
H,Hirebagevadi,1041,1122,8
H,Kakti,1131,1128,0
H,Uchagaon,1341,1702,27
T,Chikkodi,666,815,22
H,Chikkodi,666,832,25
H,Nagaramonnali,634,767,21
H,Sadalgi,663,853,29
T,Gokak,524,684,30
H,Gokak,524,691,32
H,Kowjalgi,537,672,25
H,Arbhavi,560,677,21
T,Hukkeri,649,843,30
H,Hukkeri,649,736,13
H,Sankeswar,812,902,11
H,Yamkanmardi,685,890,30
T,Khanapur,1950,2223,14
H,Khanapur,1950,1454,-25
H,Bidi,1413,1357,-4
H,Gunji,2263,2508,11
H,Jamboti,1856,2759,49
T,Ramadurga,540,676,25
H,Ramdurg,540,583,8
H,Bidki,534,745,40
H,Katkol,536,711,33
H,Mudkavi,543,616,14
T,Raibagh,483,685,42
H,Raibagh,483,675,40
H,Kudchi,529,693,31
T,Soundatti,568,736,30
H,Savadatti,568,806,42
H,Manoli,562,684,22
H,Muragoda,607,707,17
H,Yargatti,533,738,39
T,Kitthuru,1036,1107,7
H,Kittur,1036,1096,6
T,Nippani,838,956,14
H,Nippani,838,1025,22
H,Sadalgi,767,867,13
T,Kagavada,541,663,23
H,Kagwad,541,663,23
T,Mudagali,534,763,43
H,Arbhavi,534,748,40
H,Kowjalgi,529,777,47
D,BAGALKOTE,582,739,27
T,Badami,600,688,15
H,Badami,600,723,21
H,Kerur,570,672,18
H,Kulgeri,583,671,15
T,Bagalkote,613,660,8
H,Bagalkote,613,667,9
H,Kaladgi,548,659,20
H,Rampura,612,654,7
T,Bilgi,609,644,6
H,Bilgi,609,612,0
H,Anagvadi,599,677,13
T,Hungund,670,848,27
H,Hungund,670,853,27
H,Amingarh,633,841,33
H,Karadi,652,845,30
T,Jamkhandi,548,680,24
H,Jamakhandi,548,661,21
H,Savalagi,530,689,30
H,Terdal,543,726,34
T,Mudhol,532,810,52
H,Mudhol,532,787,48
H,Lokapur,473,835,77
T,Guledagudda,607,801,32
H,Guledagudda,607,800,32
T,Ilkal,651,846,30
H,Ilkal,651,820,26
H,Amingarh,636,841,32
H,Karadi,654,929,42
T,Rabakavi Banahatti,496,797,61
H,Terdal,496,802,62
H,Mudhol,550,777,41
D,VIJAYAPURA,591,737,25
T,Basavanabagevadi,669,804,20
H,Basavana Bagewadi,669,834,25
H,Huvin Hippargi,647,800,24
H,Managuli,608,779,28
T,Vijayapura,671,716,7
H,Vijayapura,671,721,7
H,Nagathan,392,708,81
T,Indi,620,682,10
H,Indi,620,673,9
H,Ballolli,563,692,23
T,Muddebihal,652,801,23
H,Muddebihal,652,822,26
H,Dhavalagi,638,706,11
H,Nalatvad,691,866,25
T,Sindgi,658,818,24
H,Sindhagi,658,820,25
H,Almel,646,816,26
T,Babaleshwara,545,644,18
H,Babaleshwar,545,681,25
H,Mamdapur,569,550,-3
T,Chadachana,552,664,20
H,Chadchan,552,663,20
T,Nidagundi,616,712,16
H,Nidagundi,616,706,15
H,Basavana Bagewadi,631,674,7
H,Huvin Hipprgi,629,737,17
H,Muddebihal,615,724,18
H,Dhavalagi,624,800,28
T,Talikote,586,800,37
H,Talikoti,586,799,36
H,Devarhipargi,597,829,39
H,Dhavalagi,612,779,27
H,Huvinhippargi,603,764,27
T,Tikota,406,661,63
H,Tikota,406,661,63
T,Kolhara,606,699,15
H,Kolhar,606,699,15
T,Devara Hipparagi,630,783,24
H,Devar Hipparagi,630,783,24
H,Huvinhiprgi,625,783,25
D,GADAG,624,734,18
T,Gadag,659,765,16
H,Gadag,659,791,20
H,Betageri,655,744,14
T,Mundargi,557,704,26
H,Mundargi,557,707,27
H,Dambal,462,702,52
T,Naragund,557,703,26
H,Naragund,557,720,29
H,Konnur,583,679,16
T,Ron,699,798,14
H,Ron,699,824,18
H,Hole Alur,623,783,26
H,Nargil,668,780,17
T,Shirahatti,689,680,-1
H,Shirahatti,689,680,-1
T,Gajendragad,737,785,6
H,Rona,737,763,3
H,Nargil,660,792,20
T,Laxmeshwar,594,640,8
H,Laxmeshwar,594,640,8
D,HAVERI,800,764,-4
T,Byadgi,679,733,8
H,Byadgi,679,738,9
H,Kaginelli,797,727,-9
T,Hanagal,1044,963,-8
H,Hangal,1044,1019,-2
H,Akki Alur,1067,910,-15
H,Bommanhalli,1024,958,-6
T,Haveri,778,711,-9
H,Haveri,778,652,-16
H,Guttal,619,718,16
H,Karajgi,732,754,3
T,Hirekerur,856,742,-13
H,Hirekerur,856,750,-12
H,Haunsbhavi,918,733,-20
T,Ranebennur,623,639,3
H,Ranebennur,623,684,10
H,Kuppelur,708,551,-22
H,Medleri,651,660,1
T,Savanur,699,690,-1
H,Savanur,699,719,3
H,Hatti Mattur,717,664,-7
T,Shiggaon,814,921,13
H,Shiggaon,814,779,-4
H,Bankapur,808,914,13
H,Dhundsi,955,1027,7
T,Ratteehalli,790,702,-11
H,Rattihalli,790,717,-9
H,Hirekerur,830,645,-22
D,DHARWAD,787,987,25
T,Dharwad,777,1081,39
H,Dharwad,777,1235,59
H,Aminbhavi,792,823,4
H,Garag,908,1120,23
T,Hubballi,772,899,16
H,Chabbi,772,1060,37
H,Shirguppi,699,799,14
T,Kalghatgi,979,1221,25
H,Kalghatgi,979,1229,26
H,Dummavada,852,1155,36
H,Tabkad Honnihalli,965,1288,33
T,Kundgol,661,863,30
H,Kundgol,661,973,47
H,Saunshi,696,768,10
T,Navalgund,631,787,25
H,Moraba,631,787,25
T,Hubballi Nagara,746,985,32
H,Hubballi Urban,746,985,32
T,Alnavara,1267,1319,4
H,Alnavar,1267,1319,4
T,Annigeri,651,923,42
H,Annigeri,651,923,42
D,SHIVAMOGGA,2325,2122,-9
T,Bhadravathi,866,1044,21
H,Bhadravathi_1,866,1030,19
H,Bhadravathi_2,936,1396,49
H,Hole Honnuru_1,883,959,9
H,Hole Honnuru_3,846,987,17
